caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,term,naturalCourt,chief,docket,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,1,1946,1301,Vinson,24,1/9/1946,10/23/1946,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,0,0,80180,8,2,0,4,,6,600,35 U.S.C. § 33,78,78,1,8,1
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01,11/18/1946,1,1946,1301,Vinson,12,10/10/1945,10/17/1946,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. § 398,81,87,1,6,3
1946-003,1946-003-01,1946-003-01-01,1946-003-01-01-01,11/18/1946,1,1946,1301,Vinson,21,11/8/1945,10/18/1946,209,,27,,2,66,,1,107,42,107,42,0,1,,2,1,2,0,0,0,0,80250,8,2,0,1,,2,207,,84,78,1,5,4
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01,11/25/1946,7,1946,1301,Vinson,26,1/31/1946,10/25/1946,27,,170,,1,,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3
1946-005,1946-005-01,1946-005-01-01,1946-005-01-01-01,11/25/1946,1,1946,1301,Vinson,50,10/25/1946,,27,,176,,1,,,0,3,,3,,0,2,,2,1,3,0,1,0,0,80060,8,1,0,7,,,,,78,78,1,6,3
1946-006,1946-006-01,1946-006-01-01,1946-006-01-01-01,11/25/1946,1,1946,1301,Vinson,46,10/24/1946,,198,,4,6,2,117,6,0,302,6,300,6,1,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,129,,81,87,1,7,1
1946-007,1946-007-01,1946-007-01-01,1946-007-01-01-01,11/25/1946,1,1946,1301,Vinson,4,11/16/1945,10/14/1946,148,,405,,1,105,,0,21,,21,,0,10,2,2,1,2,0,0,0,0,80120,8,2,0,1,,6,600,15 U.S.C. § 79,82,74,1,6,0
1946-008,1946-008-01,1946-008-01-01,1946-008-01-01-01,12/9/1946,1,1946,1301,Vinson,11,4/25/1946,10/24/1946,189,,189,,1,24,,0,54,9,23,,0,12,5,2,1,5,0,1,0,0,90200,9,1,0,4,,6,600,35 U.S.C. § 89,87,87,1,9,0
1946-009,1946-009-01,1946-009-01-01,1946-009-01-01-01,12/9/1946,1,1946,1301,Vinson,25,2/27/1946,11/13/1946,4,2,248,,1,117,2,0,44,2,29,,1,10,2,2,1,7,0,1,0,0,70190,7,1,0,4,5,5,512,,87,87,1,9,0
1946-010,1946-010-01,1946-010-01-01,1946-010-01-01-01,12/9/1946,1,1946,1301,Vinson,42,10/22/1946,,135,,114,,1,,,0,73,21,26,,0,10,3,2,1,2,0,0,0,0,80030,8,2,0,4,,3,307,,78,87,1,8,0
1946-011,1946-011-01,1946-011-01-01,1946-011-01-01-01,12/9/1946,1,1946,1301,Vinson,36,11/15/1946,,126,,28,17,1,,,0,302,17,300,17,0,10,2,1,1,2,0,0,0,0,10120,1,1,0,2,,2,214,,80,87,1,5,4
1946-012,1946-012-01,1946-012-01-01,1946-012-01-01-01,12/9/1946,1,1946,1301,Vinson,37,10/15/1946,,100,,27,,1,,,0,51,6,29,,1,10,2,1,1,3,0,1,0,0,20130,2,2,0,3,,,,,81,78,1,6,3
1946-013,1946-013-01,1946-013-01-01,1946-013-01-01-01,12/9/1946,1,1946,1301,Vinson,67,11/22/1946,,27,,137,,1,89,,0,92,35,23,,0,4,3,2,1,3,0,1,0,0,10430,1,1,0,4,,6,600,50 U.S.C. § 925,81,78,1,9,0
1946-014,1946-014-01,1946-014-01-01,1946-014-01-01-01,12/9/1946,1,1946,1301,Vinson,51,11/19/1946,,106,,27,,1,,,0,92,35,23,,1,4,2,1,1,3,0,1,0,0,10400,1,2,0,4,,6,600,18 U.S.C. § 88,81,78,1,9,0
1946-015,1946-015-01,1946-015-01-01,1946-015-01-01-01,12/9/1946,1,1946,1301,Vinson,65,11/22/1946,,338,,221,,1,38,,0,32,,32,,1,10,3,1,1,4,0,1,0,0,80320,8,2,0,4,5,3,326,,84,87,1,8,0
1946-016,1946-016-01,1946-016-01-01,1946-016-01-01-01,12/9/1946,1,1946,1301,Vinson,40,10/18/1946,,27,,166,,1,58,,0,86,30,28,,0,10,2,1,1,4,0,1,0,0,40070,4,2,0,4,,6,600,40 U.S.C. § 341,86,87,1,9,0
1946-017,1946-017-01,1946-017-01-01,1946-017-01-01-01,12/16/1946,1,1946,1301,Vinson,3,10/8/1944,10/14/1946,102,,19,18,2,,,0,302,18,300,18,0,1,3,2,3,3,0,1,0,0,80100,8,1,0,2,,1,111,,80,74,1,6,3
1946-018,1946-018-01,1946-018-01-01,1946-018-01-01-01,12/16/1946,1,1946,1301,Vinson,54,11/20/1946,,27,,158,,1,4,,0,66,17,27,,1,10,3,1,1,3,0,1,0,0,80170,8,2,0,5,4,6,600,7 U.S.C. § 601,80,87,1,9,0
1946-019,1946-019-01,1946-019-01-01,1946-019-01-01-01,12/16/1946,1,1946,1301,Vinson,48,11/15/1946,,369,,240,,1,69,,0,109,45,23,,0,10,2,1,1,3,0,1,0,0,120010,12,2,0,7,,,,,84,87,1,6,3
1946-020,1946-020-01,1946-020-01-01,1946-020-01-01-01,12/23/1946,1,1946,1301,Vinson,59,11/21/1946,,306,,142,,1,24,,0,92,35,23,,0,2,4,2,1,3,0,1,0,0,30130,3,1,0,5,4,3,366,,81,87,1,9,0
1946-021,1946-021-01,1946-021-01-01,1946-021-01-01-01,12/23/1946,1,1946,1301,Vinson,58,11/21/1946,,306,,142,,1,24,,0,92,35,23,,0,2,4,2,1,3,0,1,0,0,30130,3,1,0,5,4,3,366,,81,87,1,9,0
1946-022,1946-022-01,1946-022-01-01,1946-022-01-01-01,12/23/1946,1,1946,1301,Vinson,60,11/21/1946,,382,,151,,1,82,,0,21,,21,,0,3,8,1,1,3,0,1,0,0,70100,7,2,0,5,4,3,356,,82,87,1,8,1
1946-023,1946-023-01,1946-023-01-01,1946-023-01-01-01,12/23/1946,1,1946,1301,Vinson,23,1/2/1946,10/23/1946,142,,27,,1,24,,0,115,49,28,,0,10,2,1,1,3,0,1,0,0,30130,3,2,0,4,,3,366,,85,78,1,9,0
1946-024,1946-024-01,1946-024-01-01,1946-024-01-01-01,12/23/1946,1,1946,1301,Vinson,35,3/28/1946,11/19/1946,28,17,369,,1,117,17,0,302,17,300,17,0,11,3,2,1,2,0,0,0,0,120030,12,2,0,4,,3,307,,85,87,1,7,2
1946-025,1946-025-01,1946-025-01-01,1946-025-01-01-01,12/23/1946,1,1946,1301,Vinson,53,11/12/1946,,27,,100,,1,,,0,81,27,26,,0,4,3,2,1,4,0,1,0,0,10430,1,1,0,4,,6,600,18 U.S.C. § 413,85,78,1,7,2
1946-026,1946-026-01,1946-026-01-01,1946-026-01-01-01,1/6/1947,1,1946,1301,Vinson,70,11/14/1946,,172,,177,,1,,,0,66,17,27,,0,5,2,2,1,2,0,0,0,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
1946-027,1946-027-01,1946-027-01-01,1946-027-01-01-01,1/6/1947,1,1946,1301,Vinson,28,12/12/1946,,177,,172,,6,,,0,302,45,300,45,0,5,2,1,1,4,0,1,0,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
1946-028,1946-028-01,1946-028-01-01,1946-028-01-01-01,1/6/1947,1,1946,1301,Vinson,75,12/12/1946,,25,41,19,41,2,117,41,0,300,41,300,41,0,1,2,2,1,2,0,0,0,0,80100,8,2,0,2,,2,230,,78,87,1,9,0
1946-029,1946-029-01,1946-029-01-01,1946-029-01-01-01,1/6/1947,1,1946,1301,Vinson,61,12/9/1946,,27,,116,,2,66,,1,54,9,54,9,0,1,8,1,1,2,0,0,0,0,80230,8,1,0,4,5,3,343,,78,87,1,9,0
1946-030,1946-030-01,1946-030-01-01,1946-030-01-01-01,1/6/1947,1,1946,1301,Vinson,79,11/18/1946,,245,,234,,1,117,51,0,120,51,25,,1,10,3,1,1,3,0,1,0,0,80110,8,2,0,6,,,,,78,87,1,9,0
1946-031,1946-031-01,1946-031-01-01,1946-031-01-01-01,1/6/1947,1,1946,1301,Vinson,66,12/10/1946,,354,,119,,1,54,,0,55,10,32,,1,12,3,1,1,3,0,1,0,0,80120,8,2,0,4,5,6,600,12 U.S.C. § 77,81,78,1,9,0
1946-032,1946-032-01,1946-032-01-01,1946-032-01-01-01,1/13/1947,1,1946,1301,Vinson,88,12/16/1946,,145,,231,,1,,,0,80,26,21,,0,12,3,1,1,3,0,1,0,0,80040,8,2,0,4,,4,400,,78,87,1,6,3
1946-033,1946-033-01,1946-033-01-01,1946-033-01-01-01,1/13/1947,7,1946,1301,Vinson,142,11/18/1946,,126,,28,22,1,,,0,302,22,300,22,0,11,9,1,1,2,0,0,0,0,10130,1,1,0,2,,2,231,,79,87,1,5,4
1946-034,1946-034-01,1946-034-01-01,1946-034-01-01-01,1/13/1947,1,1946,1301,Vinson,87,12/19/1946,,166,,237,,1,,,0,73,21,26,,1,10,2,1,1,2,0,0,0,0,90110,9,1,0,4,,4,400,,81,78,1,5,2
1946-035,1946-035-01,1946-035-01-01,1946-035-01-01-01,1/13/1947,1,1946,1301,Vinson,47,11/13/1946,,145,,116,,1,,,0,109,45,23,,0,3,3,1,1,2,0,0,0,0,50040,5,1,0,4,,4,400,,82,87,1,9,0
1946-036,1946-036-01,1946-036-01-01,1946-036-01-01-01,1/13/1947,1,1946,1301,Vinson,63,12/10/1946,,249,,384,,1,84,,0,66,17,27,,0,10,2,2,1,2,0,0,0,0,90320,9,2,0,4,5,3,363,,82,87,1,8,1
1946-037,1946-037-01,1946-037-01-01,1946-037-01-01-01,1/20/1947,1,1946,1301,Vinson,80,12/18/1946,,241,,389,,1,89,,0,10,,10,,0,10,9,1,1,3,0,1,0,0,90120,9,2,0,5,4,6,600,58 Stat. 632,78,87,1,6,3
1946-038,1946-038-01,1946-038-01-01,1946-038-01-01-01,1/20/1947,1,1946,1301,Vinson,229,1/7/1947,,324,,142,,1,24,,0,55,10,32,,0,10,3,2,1,3,0,1,0,0,90120,9,1,0,5,,,,,78,87,1,9,0
1946-039,1946-039-01,1946-039-01-01,1946-039-01-01-01,1/20/1947,1,1946,1301,Vinson,62,12/9/1946,,171,,171,,1,,,0,302,17,300,17,0,10,2,3,1,3,0,1,0,0,110030,11,3,0,2,,1,143,,81,87,1,6,3
1946-040,1946-040-01,1946-040-01-01,1946-040-01-01-01,1/20/1947,1,1946,1301,Vinson,92,12/20/1946,,114,,28,35,1,,,0,92,35,23,,0,10,3,1,1,7,0,1,0,0,80030,8,2,0,1,,1,112,,81,87,1,9,0
1946-041,1946-041-01,1946-041-01-01,1946-041-01-01-01,1/20/1947,1,1946,1301,Vinson,106,12/20/1946,,27,,241,,1,24,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,28 U.S.C. § 284,82,87,1,9,0
1946-042,1946-042-01,1946-042-01-01,1946-042-01-01-01,2/3/1947,1,1946,1301,Vinson,97,1/6/1947,,326,,231,,1,,,0,55,10,32,,0,10,3,1,1,3,0,1,0,0,80220,8,2,0,4,,6,600,49 U.S.C. § 65,78,87,1,9,0
1946-043,1946-043-01,1946-043-01-01,1946-043-01-01-01,2/3/1947,1,1946,1301,Vinson,148,1/8/1947,,195,,27,,1,,,0,86,30,28,,0,3,3,2,1,2,0,0,0,0,40070,4,2,0,1,,2,211,,78,87,1,7,2
1946-044,1946-044-01,1946-044-01-01,1946-044-01-01-01,2/3/1947,1,1946,1301,Vinson,690,1/6/1947,,135,,138,,1,,,0,52,7,28,,0,10,1,1,1,8,0,1,0,0,80220,8,2,0,4,,3,307,,79,87,1,8,1
1946-045,1946-045-01,1946-045-01-01,1946-045-01-01-01,2/3/1947,1,1946,1301,Vinson,208,1/7/1947,,172,,177,,1,,,0,96,37,22,,1,3,3,2,1,4,0,1,0,0,80180,8,1,0,7,3,,,,81,87,1,5,4
1946-046,1946-046-01,1946-046-01-01,1946-046-01-01-01,2/3/1947,1,1946,1301,Vinson,320,1/16/1947,,145,,231,,1,,,0,302,32,300,32,0,4,3,1,1,3,0,1,0,0,80040,8,2,0,4,,3,329,,81,87,1,9,0
1946-047,1946-047-01,1946-047-01-01,1946-047-01-01-01,2/3/1947,1,1946,1301,Vinson,94,1/8/1947,,27,,234,,1,60,,0,3,,3,,0,12,,2,1,3,0,1,0,0,80060,8,1,0,4,,6,600,28 U.S.C. § 177,82,87,1,9,0
1946-048,1946-048-01,1946-048-01-01,1946-048-01-01-01,2/3/1947,6,1946,1301,Vinson,140,1/6/1947,,100,,28,27,1,,,0,302,27,300,27,0,10,2,1,1,3,0,1,0,0,10120,1,2,0,2,,2,214,,,,1,9,0
1946-049,1946-049-01,1946-049-01-01,1946-049-01-01-01,2/10/1947,1,1946,1301,Vinson,52,11/20/1946,,25,35,21,35,2,,,0,302,35,300,35,0,1,3,1,1,2,0,0,0,0,30170,3,1,0,2,,2,230,,78,87,1,5,4
1946-050,1946-050-01,1946-050-01-01,1946-050-01-01-01,2/10/1947,1,1946,1301,Vinson,20,12/3/1945,10/17/1946,8,60,320,,2,20,,1,55,10,55,10,0,1,,1,1,2,0,0,0,0,90340,9,1,0,4,,4,403,,79,74,1,4,3
1946-051,1946-051-01,1946-051-01-01,1946-051-01-01-01,2/10/1947,1,1946,1301,Vinson,84,10/17/1946,,28,42,320,,1,20,,0,106,42,30,,0,10,2,1,1,2,0,0,0,0,30010,3,1,0,1,,6,600,18 U.S.C. § 12,79,87,1,5,2
1946-052,1946-052-01,1946-052-01-01,1946-052-01-01-01,2/17/1947,1,1946,1301,Vinson,335,1/17/1947,,371,,151,,1,,,0,117,50,26,,1,10,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,78,87,1,9,0
1946-053,1946-053-01,1946-053-01-01,1946-053-01-01-01,2/17/1947,1,1946,1301,Vinson,190,1/7/1947,,100,,27,,1,,,0,92,35,23,,0,12,6,1,1,6,0,0,0,0,10170,1,1,0,1,,2,206,,78,87,1,9,0
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01,2/17/1947,1,1946,1301,Vinson,141,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3
1946-055,1946-055-01,1946-055-01-01,1946-055-01-01-01,2/17/1947,1,1946,1301,Vinson,31,3/5/1946,11/18/1946,123,,233,,1,,,0,100,38,24,,0,10,2,2,1,3,0,1,0,0,90460,9,1,0,7,,5,506,,80,78,1,6,3
1946-056,1946-056-01,1946-056-01-01,1946-056-01-01-01,3/3/1947,1,1946,1301,Vinson,184,2/3/1947,,195,,243,,1,,,0,114,48,24,,0,11,3,2,1,3,0,1,0,0,90330,9,1,0,4,,4,400,,78,87,1,9,0
1946-057,1946-057-01,1946-057-01-01,1946-057-01-01-01,3/3/1947,1,1946,1301,Vinson,38,10/16/1946,,382,,151,,1,82,,0,28,,28,,1,10,9,1,1,4,0,1,0,0,70070,7,2,0,5,1,2,207,,80,87,1,9,0
1946-058,1946-058-01,1946-058-01-01,1946-058-01-01-01,3/3/1947,1,1946,1301,Vinson,56,1/13/1947,,27,,231,,1,,,0,126,55,24,,0,10,2,1,1,2,0,0,0,0,80220,8,1,0,4,,6,600,49 U.S.C. § 65,81,79,1,8,1
1946-059,1946-059-01,1946-059-01-01,1946-059-01-01-01,3/3/1947,1,1946,1301,Vinson,400,1/13/1947,,231,,27,,1,,,0,133,58,27,,0,12,2,2,1,2,0,0,0,0,80220,8,2,0,4,,6,600,49 U.S.C. § 65,81,87,1,9,0
1946-060,1946-060-01,1946-060-01-01,1946-060-01-01-01,3/6/1947,1,1946,1301,Vinson,759,1/14/1947,,27,,249,,1,,,0,55,10,32,,0,13,,2,1,2,1,1,0,0,10080,1,1,0,4,,6,600,50 U.S.C. § 1501,87,87,1,5,4
1946-061,1946-061-01,1946-061-01-01,1946-061-01-01-01,3/10/1947,1,1946,1301,Vinson,431,2/14/1947,,123,,125,,1,,,0,302,47,301,47,0,3,4,1,1,4,0,1,0,0,100050,10,2,0,2,,1,148,,78,87,1,9,0
1946-062,1946-062-01,1946-062-01-01,1946-062-01-01-01,3/10/1947,1,1946,1301,Vinson,6,3/8/1945,10/15/1946,249,,27,,1,,,0,50,6,29,,0,3,2,2,1,4,0,1,0,0,70020,7,1,0,4,,3,367,,79,74,1,5,3
1946-063,1946-063-01,1946-063-01-01,1946-063-01-01-01,3/10/1947,1,1946,1301,Vinson,29,3/1/1946,11/12/1946,19,37,25,37,1,117,37,0,302,37,301,37,0,11,2,1,3,2,0,0,0,0,80100,8,1,0,2,,1,111,,79,74,1,5,4
1946-064,1946-064-01,1946-064-01-01,1946-064-01-01-01,3/10/1947,1,1946,1301,Vinson,69,12/11/1946,,116,,145,,1,,,0,96,37,22,,0,10,2,2,1,7,0,0,0,0,80050,8,2,0,4,,6,600,46 U.S.C. § 781,79,78,1,7,2
1946-065,1946-065-01,1946-065-01-01,1946-065-01-01-01,3/10/1947,1,1946,1301,Vinson,432,2/13/1947,,171,,145,,1,,,0,116,50,26,,0,4,11,1,1,4,0,1,0,0,90140,9,2,0,4,,6,600,28 U.S.C. § 41,81,87,1,9,0
1946-066,1946-066-01,1946-066-01-01,1946-066-01-01-01,3/10/1947,1,1946,1301,Vinson,265,1/10/1947,,331,,171,,1,31,,0,55,10,32,,1,4,3,1,1,3,0,1,0,0,80040,8,2,0,1,,1,143,,82,78,1,7,2
1946-067,1946-067-01,1946-067-01-01,1946-067-01-01-01,3/10/1947,1,1946,1301,Vinson,658,1/9/1947,,189,,382,,1,82,,0,26,,26,,0,12,2,2,1,2,0,0,0,0,70070,7,2,0,4,,3,356,,84,78,1,5,4
1946-068,1946-068-01,1946-068-01-01,1946-068-01-01-01,3/10/1947,1,1946,1301,Vinson,93,12/18/1946,,198,,,,1,,,0,96,37,22,,1,12,3,1,1,3,0,1,0,0,90140,9,2,0,7,,,,,84,87,1,5,4
1946-069,1946-069-01,1946-069-01-01,1946-069-01-01-01,3/10/1947,1,1946,1301,Vinson,206,12/19/1946,,237,,171,,1,,,0,94,37,22,,1,12,2,2,1,2,0,0,0,0,90140,9,2,0,7,4,4,400,,84,87,1,5,4
1946-070,1946-070-01,1946-070-01-01,1946-070-01-01-01,3/17/1947,1,1946,1301,Vinson,417,2/5/1947,,304,,102,,1,37,,0,302,49,300,49,0,10,2,1,1,3,0,1,0,0,120030,12,2,0,4,,6,600,31 U.S.C. § 191,82,87,1,8,1
1946-071,1946-071-01,1946-071-01-01,1946-071-01-01-01,3/31/1947,1,1946,1301,Vinson,564,2/10/1947,,371,,151,,1,,,0,103,41,26,,0,4,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,87,87,1,6,3
1946-072,1946-072-01,1946-072-01-01,1946-072-01-01-01,3/31/1947,1,1946,1301,Vinson,291,2/5/1947,,177,,4,22,2,117,22,0,302,22,300,22,0,1,2,1,1,2,0,0,0,0,20060,2,1,0,2,,2,231,,78,87,1,5,4
1946-073,1946-073-01,1946-073-01-01,1946-073-01-01-01,3/31/1947,1,1946,1301,Vinson,72,2/12/1947,,366,,116,,2,66,,1,66,17,66,17,0,1,3,2,1,2,0,0,0,0,80230,8,2,0,5,4,3,343,,78,87,1,7,2
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01,3/31/1947,1,1946,1301,Vinson,453,1/16/1947,,185,,405,,1,105,,0,29,,29,,0,12,3,2,1,2,0,0,0,0,10080,1,2,0,4,,6,600,28 U.S.C. § 385,81,87,1,7,2
1946-075,1946-075-01,1946-075-01-01,1946-075-01-01-01,3/31/1947,1,1946,1301,Vinson,384,2/5/1947,,253,,168,,1,,,0,302,37,300,37,0,10,2,3,1,2,0,0,0,0,110030,11,3,0,2,,1,143,,81,78,1,9,0
1946-076,1946-076-01,1946-076-01-01,1946-076-01-01-01,3/31/1947,1,1946,1301,Vinson,270,1/17/1947,,4,58,151,,1,117,58,0,302,58,300,58,0,11,2,3,1,3,0,1,0,0,110030,11,3,0,2,,1,143,,82,87,1,9,0
1946-077,1946-077-01,1946-077-01-01,1946-077-01-01-01,3/31/1947,1,1946,1301,Vinson,49,11/21/1946,,100,,27,,1,,,0,66,17,27,,1,12,2,1,1,2,0,0,0,0,10600,1,1,0,1,,1,142,,84,87,1,8,1
1946-078,1946-078-01,1946-078-01-01,1946-078-01-01-01,3/31/1947,1,1946,1301,Vinson,22,12/11/1945,10/21/1946,145,,151,,1,66,,0,302,17,300,17,0,10,3,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,86,87,1,6,3
1946-079,1946-079-01,1946-079-01-01,1946-079-01-01-01,3/31/1947,1,1946,1301,Vinson,41,10/22/1946,,245,,145,,1,66,,0,96,37,22,,0,10,4,2,1,5,0,1,0,0,70040,7,1,0,4,,3,352,,86,87,1,9,0
1946-080,1946-080-01,1946-080-01-01,1946-080-01-01-01,4/7/1947,1,1946,1301,Vinson,430,3/5/1947,,27,,240,,1,,,0,77,22,25,,0,4,2,1,1,2,0,0,0,0,120010,12,1,0,4,,6,600,56 Stat. 798,78,87,1,7,2
1946-081,1946-081-01,1946-081-01-01,1946-081-01-01-01,4/7/1947,1,1946,1301,Vinson,585,3/14/1947,,27,,100,,2,,,0,51,6,51,6,0,1,,2,1,3,0,1,0,0,10480,1,1,0,4,,6,600,50 U.S.C. § 1355,78,78,1,9,0
1946-082,1946-082-01,1946-082-01-01,1946-082-01-01-01,4/7/1947,1,1946,1301,Vinson,207,2/11/1947,,349,,237,,1,49,,0,55,10,32,,0,10,3,2,1,2,0,0,0,0,90320,9,2,0,4,,4,400,,81,87,1,8,0
1946-083,1946-083-01,1946-083-01-01,1946-083-01-01-01,4/7/1947,1,1946,1301,Vinson,27,,11/14/1946,158,,184,,1,,,0,302,12,300,12,0,12,2,1,1,2,0,0,0,0,80010,8,1,0,4,,3,364,,84,87,1,5,4
1946-084,1946-084-01,1946-084-01-01,1946-084-01-01-01,4/7/1947,1,1946,1301,Vinson,55,12/14/1946,,151,,4,37,2,117,37,0,302,37,300,37,0,1,2,1,1,3,0,1,0,0,100030,10,2,0,4,,3,356,,84,87,1,9,0
1946-085,1946-085-01,1946-085-01-01,1946-085-01-01-01,4/14/1947,1,1946,1301,Vinson,68,12/11/1946,,240,,369,,1,,,0,9,,22,,0,10,3,2,1,2,0,0,0,0,120010,12,2,0,4,,3,345,,87,87,1,6,3
1946-086,1946-086-01,1946-086-01-01,1946-086-01-01-01,4/14/1947,1,1946,1301,Vinson,74,2/7/1947,,371,,151,,1,,,0,51,6,29,,0,11,2,1,1,2,0,0,0,0,70040,7,1,0,4,,3,334,,87,87,1,7,2
1946-087,1946-087-01,1946-087-01-01,1946-087-01-01-01,4/14/1947,1,1946,1301,Vinson,371,2/7/1947,,135,,135,,1,,,0,111,45,23,,0,12,3,2,1,4,0,1,0,0,80030,8,1,0,4,,3,307,,82,87,1,8,1
1946-088,1946-088-01,1946-088-01-01,1946-088-01-01-01,4/14/1947,1,1946,1301,Vinson,85,12/19/1946,,151,,250,,1,,,0,104,41,26,,0,3,2,2,1,3,0,1,0,0,20250,2,1,0,4,,3,366,,85,87,1,7,2
1946-089,1946-089-01,1946-089-01-01,1946-089-01-01-01,4/14/1947,1,1946,1301,Vinson,83,12/16/1946,,122,,3,35,2,,,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,2,231,,85,78,1,7,2
1946-090,1946-090-01,1946-090-01-01,1946-090-01-01-01,4/28/1947,1,1946,1301,Vinson,755,4/8/1947,,177,,172,,1,,,0,51,6,29,,0,12,9,1,1,3,0,1,0,0,90380,9,2,0,4,,6,600,28 U.S.C. § 227,78,78,1,9,0
1946-091,1946-091-01,1946-091-01-01,1946-091-01-01-01,4/28/1947,1,1946,1301,Vinson,682,4/7/1947,,389,,195,,2,,,0,120,51,120,51,0,1,,1,1,3,0,1,0,0,90340,9,2,0,4,,6,600,28 U.S.C. § 401,79,87,1,8,1
1946-092,1946-092-01,1946-092-01-01,1946-092-01-01-01,4/28/1947,1,1946,1301,Vinson,583,4/1/1947,,389,,120,,1,89,,0,81,27,26,,0,2,2,2,1,3,0,1,0,0,10360,1,1,0,4,,4,400,,81,87,1,9,0
1946-093,1946-093-01,1946-093-01-01,1946-093-01-01-01,4/28/1947,1,1946,1301,Vinson,680,4/2/1947,,184,,233,,1,,,0,94,37,22,,0,4,10,2,1,2,0,0,0,0,80200,8,2,0,4,,6,600,15 U.S.C. § 99,81,87,1,9,0
1946-094,1946-094-01,1946-094-01-01,1946-094-01-01-01,4/28/1947,1,1946,1301,Vinson,467,4/7/1947,,234,,27,,2,66,,1,69,18,69,18,0,1,,2,1,5,0,1,0,0,90320,9,1,0,4,,6,600,28 U.S.C. § 380,82,87,1,8,1
1946-095,1946-095-01,1946-095-01-01,1946-095-01-01-01,5/5/1947,1,1946,1301,Vinson,34,12/12/1946,,100,,27,,1,,,0,107,42,30,,0,10,2,1,1,2,0,0,0,0,10050,1,1,0,1,,2,205,,87,87,1,5,4
1946-096,1946-096-01,1946-096-01-01,1946-096-01-01-01,5/5/1947,1,1946,1301,Vinson,497,2/11/1947,,151,,145,,1,,,0,96,37,22,,0,10,2,2,1,2,0,0,0,0,70040,7,2,0,4,,3,334,,87,87,1,9,0
1946-097,1946-097-01,1946-097-01-01,1946-097-01-01-01,5/5/1947,1,1946,1301,Vinson,674,4/10/1947,,369,,240,,1,69,,0,9,,23,,0,4,3,1,1,4,0,1,0,0,120010,12,2,0,4,,3,345,,78,87,1,9,0
1946-098,1946-098-01,1946-098-01-01,1946-098-01-01-01,5/5/1947,1,1946,1301,Vinson,470,2/13/1947,,195,,177,,1,117,17,0,66,17,27,,0,10,3,2,1,7,0,0,0,0,100030,10,2,0,2,,6,600,7 U.S.C. § 241,81,87,1,7,2
1946-099,1946-099-01,1946-099-01-01,1946-099-01-01-01,5/5/1947,1,1946,1301,Vinson,471,2/14/1947,,195,,119,,1,117,17,0,66,17,27,,0,12,3,2,1,3,0,1,0,0,100030,10,1,0,4,,6,600,7 U.S.C. § 1,81,87,1,9,0
1946-100,1946-100-01,1946-100-01-01,1946-100-01-01-01,5/12/1947,1,1946,1301,Vinson,429,2/12/1947,,27,,195,,1,,,0,63,15,29,,1,12,2,1,1,2,0,0,0,0,100010,10,1,0,4,,5,512,,79,79,1,5,4
1946-101,1946-101-01,1946-101-01-01,1946-101-01-01-01,5/12/1947,1,1946,1301,Vinson,343,3/3/1947,,28,37,27,,2,66,,1,95,37,95,37,0,1,2,2,1,2,0,0,0,0,80220,8,2,0,5,4,3,343,,81,87,1,7,2
1946-102,1946-102-01,1946-102-01-01,1946-102-01-01-01,5/19/1947,1,1946,1301,Vinson,241,1/9/1947,,220,,28,51,1,,,0,302,51,300,51,1,10,9,1,1,3,0,1,0,0,30010,3,2,0,2,,2,200,,81,78,1,6,3
1946-103,1946-103-01,1946-103-01-01,1946-103-01-01-01,5/19/1947,1,1946,1301,Vinson,419,3/7/1947,,382,,151,,1,82,,0,27,,27,,0,3,9,1,1,3,0,1,0,0,70130,7,2,0,4,5,3,356,,82,78,1,6,3
